drug_name,drug_ingredient,drug_category,food_name,food_category,risk_level,interaction_mechanism,clinical_effect,recommendation,alternative_food,source
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),자몽,과일,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제하여 약물 대사를 방해,혈중 약물 농도 2-3배 상승으로 저혈압/어지러움/두통 위험 증가,자몽 및 자몽주스 섭취를 완전히 피하세요,오렌지/사과/배/포도,FDA Drug Interactions Guide
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),자몽주스,음료,danger,자몽의 푸라노쿠마린이 CYP3A4 효소를 억제하여 약물 대사를 방해,혈중 약물 농도 2-3배 상승으로 저혈압/어지러움/두통 위험 증가,자몽주스 대신 다른 과일주스를 선택하세요,오렌지주스/사과주스/포도주스,FDA Drug Interactions Guide
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),술,알코올,caution,알코올이 혈관 확장 효과를 증가시켜 혈압 강하 작용 강화,과도한 혈압 저하로 어지러움/실신 위험,음주를 피하거나 소량만 섭취하고 4시간 이상 간격 유지,무알코올 음료,약학정보원
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),맥주,알코올,caution,알코올이 혈관 확장 효과를 증가시켜 혈압 강하 작용 강화,과도한 혈압 저하로 어지러움/실신 위험,맥주 섭취를 1잔 이하로 제한하세요,무알코올 맥주,약학정보원
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),사과,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),오렌지,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),바나나,과일,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),우유,유제품,safe,알려진 상호작용 없음,해당 없음,안심하고 드셔도 됩니다,-,DrugBank
암로디핀,암로디핀베실산염,칼슘채널차단제(혈압약),커피,카페인음료,caution,카페인이 일시적으로 혈압을 상승시킬 수 있음,약물의 혈압 강하 효과 감소 가능,하루 2잔 이하로 제한하고 복용 후 1시간 후 섭취 권장,디카페인 커피,PubMed Research
와파린,와파린나트륨,항응고제,청국장,발효식품,danger,청국장의 높은 비타민K가 와파린의 항응고 작용을 방해,혈전 형성 위험 증가/INR 수치 급격히 감소,청국장 섭취를 완전히 피하세요,두부/순두부,식약처 DUR
